"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"DE-Zrk","WET",12.889,53.8759,"GRA",9.80902777777778,0,0,0.362847222222222,10.203125,0,0,2.75173611111111,5.03645833333333,7.48263888888889,0.638888888888889,54.5711805555556,1.17881944444444,4.94965277777778,0,0,3.015625
"DK-Eng","GRA",12.1918,55.6905,"CRO",0.112847222222222,0,0.0104166666666667,0.112847222222222,2.92708333333333,0,0,0.149305555555556,4.55208333333333,3.74479166666667,2.68923611111111,38.9861111111111,2.37847222222222,2.00868055555556,0,0.00694444444444444,42.3211805555556
"DK-Fou","CRO",9.5872,56.4842,"CVM",1.10243055555556,0,0,0.0729166666666667,6.015625,0,0,0.213541666666667,10.8524305555556,3.55555555555556,1.08333333333333,40.0763888888889,1.28472222222222,10.3819444444444,0,0.00173611111111111,25.359375
"DK-Sor","DBF",11.6446,55.4859,"CVM",0.112847222222222,0,0.0104166666666667,0.112847222222222,2.92708333333333,0,0,0.149305555555556,4.55208333333333,3.74479166666667,2.68923611111111,38.9861111111111,2.37847222222222,2.00868055555556,0,0.00694444444444444,42.3211805555556
"ES-Amo","OSH",-2.2523,36.8336,"GRA",0,0,0,0,0,0,3.28298611111111,0.0173611111111111,0.0364583333333333,4.93576388888889,0.0538194444444444,0.00347222222222222,0.402777777777778,0,0,0.154513888888889,91.1128472222222
"ES-LgS","OSH",-2.9658,37.0979,"SAV",1.44618055555556,0,0,0,0,0.175347222222222,32.7864583333333,0.755208333333333,17.8003472222222,25.8559027777778,0.84375,16.375,2.52777777777778,0.418402777777778,0,0.973958333333333,0.0416666666666667
"ES-LJu","OSH",-2.7521,36.9266,"OSH",0.0815972222222222,0,0,0,0,0.253472222222222,3.82465277777778,0.296875,9.578125,8.67534722222222,0.0850694444444444,0.362847222222222,2.29513888888889,0.00868055555555556,0,1.30729166666667,73.2309027777778
"ES-Ln2","OSH",-3.4758,36.9695,"SAV",0.0815972222222222,0,0,0,0,0.253472222222222,3.82465277777778,0.296875,9.578125,8.67534722222222,0.0850694444444444,0.362847222222222,2.29513888888889,0.00868055555555556,0,1.30729166666667,73.2309027777778
"FI-Hyy","ENF",24.2948,61.8474,"ENF",42.4583333333333,0,0.03125,0,16.3732638888889,0,0,23.1024305555556,0.927083333333333,5.80729166666667,1.15451388888889,0.00694444444444444,0.376736111111111,0,0,0,9.76215277777778
"FI-Jok","CRO",23.5134,60.8986,"SAV",22.4982638888889,0,0,0,5.31770833333333,0,0,38.0486111111111,6.25347222222222,17.6302083333333,1.30208333333333,0.0572916666666667,0.368055555555556,0,0,0,8.52430555555556
"FI-Let","ENF",23.9595,60.6418,"ENF",22.4982638888889,0,0,0,5.31770833333333,0,0,38.0486111111111,6.25347222222222,17.6302083333333,1.30208333333333,0.0572916666666667,0.368055555555556,0,0,0,8.52430555555556
"FI-Lom","WET",24.2092,67.9972,"WSA",0.0677083333333333,0,0,0,0.161458333333333,0,0.222222222222222,76.2673611111111,22.3020833333333,0.295138888888889,0.128472222222222,0,0,0,0,0.00347222222222222,0.552083333333333
"FI-Si2","WET",24.1967,61.8372,"WSA",42.4583333333333,0,0.03125,0,16.3732638888889,0,0,23.1024305555556,0.927083333333333,5.80729166666667,1.15451388888889,0.00694444444444444,0.376736111111111,0,0,0,9.76215277777778
"FI-Sii","WET",24.1928,61.8327,"WSA",42.4583333333333,0,0.03125,0,16.3732638888889,0,0,23.1024305555556,0.927083333333333,5.80729166666667,1.15451388888889,0.00694444444444444,0.376736111111111,0,0,0,9.76215277777778
"FI-Sod","ENF",26.6386,67.3624,"SAV",0.119791666666667,0,0,0,0.114583333333333,0,0.130208333333333,49.4618055555556,46.6875,0.342013888888889,0.661458333333333,0,0,0,0,0.0277777777777778,2.45486111111111
"FR-Fon","DBF",2.7801,48.4764,"DBF",0.0763888888888889,0.00173611111111111,0,3.63368055555556,6.01388888888889,0,0,3.28993055555556,3.00173611111111,3.76041666666667,0.159722222222222,63.390625,14.9965277777778,1.60763888888889,0,0,0.0677083333333333
