"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1_2021","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"BE-Lon","CRO",4.7461,50.5516,"CRO",0.0208333333333333,0,0,0.0208333333333333,2.61805555555556,0,0,0.819444444444445,10.3055555555556,2.36111111111111,0.0763888888888889,60.4375,10.1180555555556,13.1944444444444,0,0,0.0277777777777778
"BE-Vie","MF",5.9981,50.305,"MF",2.27777777777778,0,0,0.118055555555556,38.9583333333333,0,0,7.45138888888889,35.1875,12.7222222222222,0,1.90972222222222,0.333333333333333,1.04166666666667,0,0,0
"BR-Sa3","EBF",-54.9714,-3.018,"EBF",0,82.0763888888889,0,0.00694444444444444,0,0,0,7.09027777777778,2.81944444444444,7.90972222222222,0,0,0.0277777777777778,0,0,0,0.0694444444444444
"CA-Man","ENF",-98.4808,55.8796,"WSA",30.5208333333333,0,0.0277777777777778,0,0.173611111111111,0,0.0208333333333333,61.6111111111111,0.0902777777777778,0.222222222222222,3.29166666666667,0,0.125,0,0,0.0833333333333333,3.83333333333333
"CA-NS1","ENF",-98.4839,55.8792,"WSA",30.5208333333333,0,0.0277777777777778,0,0.173611111111111,0,0.0208333333333333,61.6111111111111,0.0902777777777778,0.222222222222222,3.29166666666667,0,0.125,0,0,0.0833333333333333,3.83333333333333
"CA-NS2","ENF",-98.5247,55.9058,"ENF",30.5208333333333,0,0.0277777777777778,0,0.173611111111111,0,0.0208333333333333,61.6111111111111,0.0902777777777778,0.222222222222222,3.29166666666667,0,0.125,0,0,0.0833333333333333,3.83333333333333
"CA-NS3","ENF",-98.3822,55.9117,"WSA",30.5208333333333,0,0.0277777777777778,0,0.173611111111111,0,0.0208333333333333,61.6111111111111,0.0902777777777778,0.222222222222222,3.29166666666667,0,0.125,0,0,0.0833333333333333,3.83333333333333
"CA-NS4","ENF",-98.3806,55.9144,"WSA",30.5208333333333,0,0.0277777777777778,0,0.173611111111111,0,0.0208333333333333,61.6111111111111,0.0902777777777778,0.222222222222222,3.29166666666667,0,0.125,0,0,0.0833333333333333,3.83333333333333
"CA-NS5","ENF",-98.485,55.8631,"WSA",30.5208333333333,0,0.0277777777777778,0,0.173611111111111,0,0.0208333333333333,61.6111111111111,0.0902777777777778,0.222222222222222,3.29166666666667,0,0.125,0,0,0.0833333333333333,3.83333333333333
"CA-NS6","OSH",-98.9644,55.9167,"WSA",30.5208333333333,0,0.0277777777777778,0,0.173611111111111,0,0.0208333333333333,61.6111111111111,0.0902777777777778,0.222222222222222,3.29166666666667,0,0.125,0,0,0.0833333333333333,3.83333333333333
"CA-NS7","OSH",-99.9483,56.6358,"WSA",10.7708333333333,0,0,0,0.0416666666666667,0,0.4375,61.8333333333333,7.11111111111111,0.333333333333333,7.54861111111111,0,0,0,0,0.319444444444444,11.6041666666667
"CA-Qfo","ENF",-74.3421,49.6925,"WSA",4.21527777777778,0,0,0,3,0,0.472222222222222,77.4791666666667,0.944444444444444,0.256944444444444,8.04861111111111,0,0.0833333333333333,0,0,0,5.5
"CA-SF1","ENF",-105.8176,54.485,"WSA",34.2708333333333,0,0.180555555555556,0.770833333333333,8.72222222222222,0,0,50.4583333333333,0.138888888888889,0.208333333333333,1.1875,0,0,0,0,0,4.0625
